CE,avg(area),stdev(area),avg(height),stdev(height),name,
15,133491.44361820400,31464.27607371600,1760.7071258412500,614.2613253313620,"1, m/z 225.10 neg, 194.5 s",
20,380961.5750182450,94743.19850712490,4327.984106897660,1370.4136199473900,"1, m/z 225.10 neg, 190.2 s",
25,964181.6321411920,197401.23122056600,10342.284327690800,2736.7029045487400,"1, m/z 225.10 neg, 188.3 s",
30,1595504.484593730,358417.581172848,17381.38360028670,4295.977998389260,"1, m/z 225.10 neg, 186.1 s",
35,1920378.375,521391.909235733,15510.991013071900,4478.861613108270,"1, m/z 225.10 neg, 432.4 s",
40,720541.7792474950,175172.0407998850,8321.500660589280,2062.6004112837300,"1, m/z 225.10 neg, 191.0 s",
45,252969.5,52481.87701959600,3383.8333333333300,799.3608488452930,"1, m/z 225.10 neg, 185.5 s",
